ID,da_percent,hra_percent,esi_eligible
744,0.0,0.0,0
745,0.0,0.0,0
770,0.0,0.0,0
778,0.0,0.0,0
741,0.0,0.0,0
1340,0.0,0.0,0
1341,0.0,0.0,0
1408,0.0,0.0,0
1411,0.0,0.0,0
1412,0.0,0.0,0
1413,0.0,0.0,0
1415,0.0,0.0,1
1420,0.0,0.0,0
1422,0.0,0.0,1
1424,0.0,0.0,0
1434,0.0,0.0,0
1435,0.0,0.0,0
1437,0.0,0.0,1
1445,0.0,0.0,0
1447,0.0,0.0,1
1449,0.0,0.0,1
1451,0.0,0.0,0
1455,0.0,0.0,0
1456,0.0,0.0,1
1466,0.0,0.0,1
1467,0.0,0.0,0
1470,0.0,0.0,1
165,26.39,16.0,0
265,26.39,15.999999999999998,0
266,26.39,15.999999999999998,0
267,26.39,15.999999999999998,0
328,26.39,15.999999999999998,0
329,26.39,15.999999999999998,0
372,26.39,15.999999999999998,0
417,26.39,16.0,0
418,26.39,16.0,0
421,26.39,16.0,0
425,26.39,16.0,0
426,26.39,16.0,0
427,26.39,16.0,0
707,0.0,0.0,0
703,0.0,0.0,0
704,0.0,0.0,0
711,0.0,0.0,0
769,0.0,0.0,0
1169,0.0,0.0,0
709,0.0,0.0,0
727,0.0,0.0,1
743,0.0,0.0,0
751,0.0,0.0,1
725,0.0,0.0,0
715,0.0,0.0,0
731,0.0,0.0,1
737,0.0,0.0,1
705,0.0,0.0,0
1342,0.0,0.0,0
1343,0.0,0.0,0
1421,0.0,0.0,0
1431,0.0,0.0,1
1436,0.0,0.0,1
1443,0.0,0.0,0
1448,0.0,0.0,1
1450,0.0,0.0,1
1464,0.0,0.0,1
1465,0.0,0.0,1
1423,0.0,0.0,0
1432,0.0,0.0,0
